"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G49952",19.5595088774543,21.2456547505812,2.98571098575069,7.11577739840733,1.112837798241e-12,2.98158477372037e-11
"AT1G77655",15.5404317108541,20.9298872961446,3.14754383796566,6.64959357950425,2.93903437032058e-11,6.97450850165054e-10
"AT1G80820",1238.50994727458,12.8633614209194,1.20573330809942,10.6684963702261,1.42920392138731e-26,1.10791887985944e-24
"AT1G56250",526.043882013941,12.5923897030829,1.25446345664153,10.0380681768088,1.03684806536127e-23,6.69803850223384e-22
"AT1G32350",1001.55060134087,12.558393654579,1.20582052191685,10.4148116791173,2.12217170229104e-25,1.46884598537144e-23
"AT1G43160",406.871229164971,12.2204837608415,1.22747892040089,9.95575855335287,2.38000845158941e-23,1.48788915457428e-21
"AT1G19250",404.998675580427,12.2126345203011,1.24824129395911,9.78387318173526,1.32058007213135e-22,8.08195004144389e-21
"AT1G26380",360.500090927988,12.0468397640309,1.24091701234739,9.70801402846623,2.78714545603077e-22,1.67056326611989e-20
"AT1G51890",339.205018414911,11.955614877002,1.25441469817109,9.53083130677042,1.56028719187912e-21,8.98169280552988e-20
"AT5G26920",316.544712796174,11.8567942181246,1.25945945668692,9.4141928548574,4.76731015586574e-21,2.61482464586825e-19
"AT1G47890",273.856424404434,11.6503523576913,1.25875432953466,9.25546159749714,2.1330672450291e-20,1.13776632684396e-18
"AT1G01480",1400.37873683562,11.6122075728216,0.864057755039173,13.4391567057866,3.56475829557232e-41,4.81988482103663e-39
"AT1G28480",466.274774962271,11.4550184477677,1.21654874289567,9.41599628840358,4.68616846028853e-21,2.59902478668309e-19
"AT5G67080",408.399171883478,11.2598395605296,1.24283125516299,9.05982973453053,1.30654342151534e-19,6.54848573507775e-18
"AT1G29290",207.525602433955,11.2495886026498,1.29142610377719,8.71098127081894,3.01255441890929e-18,1.32689328723777e-16
"AT1G15415",207.608528692336,11.2482222817716,1.26633655262832,8.88249040780314,6.53798864141851e-19,3.16765549676727e-17
"AT1G21110",164.990363014159,10.9146933905057,1.3382725582983,8.1558075168069,3.4685448196041e-16,1.26830940762127e-14
"AT1G53160",170.82144044092,-10.911378926422,1.30817957910783,-8.34088767374241,7.3734911613292e-17,2.8579651741312e-15
"AT1G26420",160.156591616244,10.8757030333462,1.32133441405624,8.23084823769929,1.85892359797288e-16,7.01804012897032e-15
"AT5G36925",159.510192390627,10.8673574285146,1.29419918502928,8.39697440256753,4.58129867580259e-17,1.83694279318043e-15
"AT1G05990",152.908827272587,10.8107727479495,1.3346570609437,8.10003787812395,5.49420785802655e-16,1.95971315868505e-14
"AT1G64290",150.087327032696,10.7815980190347,1.32995592108889,8.10673334963412,5.19988035032196e-16,1.86617928128221e-14
"AT1G69920",280.968870169899,10.7192089556504,1.25567956930685,8.53657988683174,1.38253104996073e-17,5.82466342353022e-16
"AT1G05675",2140.30387190604,10.6705203870985,0.529005904867941,20.1708908897005,1.76431754969438e-90,1.02577422339231e-87
"AT1G68765",137.248438085374,10.6524285096827,1.30855711855583,8.14059115848079,3.93352545199482e-16,1.42046689303714e-14
"AT1G35230",258.846833542087,10.6068552822436,1.2858042346821,8.24919921411364,1.59459423547492e-16,6.05945809480469e-15
"AT1G57560",131.808258657548,10.5941126998045,1.31044030448857,8.08439168386165,6.24752436267174e-16,2.21482357588863e-14
"AT1G78410",131.233136573966,10.5899914692428,1.33306456852437,7.94409492179761,1.95613762143953e-15,6.68999066532319e-14
"AT1G13480",130.461846519414,10.5793057687565,1.33837112582334,7.90461297664976,2.68767323795338e-15,8.9805357502649e-14
"AT1G61120",124.650219326287,10.5100689238182,1.35468572353317,7.75830788000543,8.60700023192927e-15,2.78006107491315e-13
"AT1G05575",123.411873773674,10.5009362095864,1.33275590346555,7.87911438417266,3.29709567143628e-15,1.0953893847846e-13
"AT1G78860",104.692310638822,10.2598346105296,1.59409104431726,6.43616601893894,1.22529012160312e-10,2.7190216667941e-09
"AT1G05800",98.231674074639,10.169076611253,1.35673106250359,7.49527809327807,6.61579438533766e-14,2.01383395583001e-12
"AT1G21240",97.9211159198742,10.1687575262701,1.44668271024105,7.02901711224276,2.07993471923565e-12,5.39854484715897e-11
"AT5G18470",96.2773586871757,10.144642500438,1.41618876367643,7.16334062282944,7.87343886874513e-13,2.12912435269229e-11
"AT1G14540",322.421667210058,10.1432924985242,1.13098555559518,8.96854292112184,3.00462659681121e-19,1.46797470872776e-17
"AT1G61800",320.553449583134,10.1264128994462,1.10581885732546,9.15738851111473,5.31683684037821e-20,2.76000798124633e-18
"AT1G32910",90.5010470957692,10.0511420811451,1.42210903795567,7.0677717480749,1.57441227899453e-12,4.17974109135808e-11
"AT1G20310",90.2984939139366,10.0475231506078,1.42391242367983,7.05627887187186,1.71020442292171e-12,4.47888671840847e-11
"AT1G33030",312.784936518339,10.0466632115263,1.06454531740141,9.43751576123645,3.8172198318156e-21,2.1546908837064e-19
"AT5G66400",87.8076838685124,10.0061277495836,1.3708896427389,7.29900309815779,2.89907645670433e-13,8.26407400764104e-12
"AT1G57630",458.753015659894,9.98913765876247,0.897776206390219,11.1265341937796,9.3188706390366e-29,7.85216143410997e-27
"AT5G42830",859.94402342994,9.94761298356221,0.656917821075938,15.1428575453615,8.44625174712424e-52,1.75380384492073e-49
"AT1G60500",81.9121942448278,9.90474045428744,1.40825607678762,7.03333762768574,2.01650613954643e-12,5.25738416830627e-11
"AT1G23840",66.0191993626702,9.59269198616122,1.46986930264547,6.52622105169236,6.74497546623023e-11,1.53785440630049e-09
"AT1G19510",67.7927786795328,-9.57817170955172,1.44190000653509,-6.64274337065039,3.07897671590946e-11,7.24743750052534e-10
"AT1G32960",64.6935045760474,9.56564897662934,1.44347065507247,6.62683993125519,3.42949163139835e-11,8.03994530038308e-10
"AT1G75945",63.930633691718,9.5501495140021,1.42935034314453,6.68146165830279,2.36570678171407e-11,5.66017252217515e-10
"AT1G13520",63.6261018320702,9.54494535716589,1.50236048075948,6.3532990113935,2.10745493227914e-10,4.52130737131768e-09
"AT1G72520",2237.81019457486,9.525354789609,0.388245395109967,24.5343664331448,6.35173857541419e-133,7.38580161549162e-130
"AT5G64810",626.322279355445,9.51595380274757,1.54162366435073,6.17268275182796,6.71408498535569e-10,1.3842443299595e-08
"AT1G17180",314.679228223218,9.47322263673079,0.93736156434865,10.1062631507763,5.18233694762656e-24,3.38540528241582e-22
"AT1G72760",57.9558268523217,9.40435106417878,1.50223374392289,6.26024485352095,3.8437347595204e-10,8.12635414249148e-09
"AT1G13470",110.077967874518,9.37333141957585,1.32647011648171,7.06637209772762,1.59036618085547e-12,4.18388641425055e-11
"AT1G56240",55.7075116972661,9.35232918917921,1.51084697726944,6.19012337442784,6.01171428787192e-10,1.25276368708557e-08
"AT1G69790",184.069234354627,9.27624150922618,1.10489251206409,8.39560537150978,4.63499915657892e-17,1.84574555454451e-15
"AT1G79680",1034.10911160177,9.23307606135259,1.37189153335051,6.73017934501209,1.69454090745064e-11,4.17460204911781e-10
"AT1G57650",49.258037954234,9.170908354802,1.53573401234498,5.97167756986675,2.34826281743751e-09,4.49105263834923e-08
"AT1G05880",94.6866939570063,9.15667105364921,1.36641255554856,6.70124920652034,2.06645275277235e-11,4.98521008490391e-10
"AT5G62480",900.85336276445,9.14312464907213,1.12235587437669,8.14636859645776,3.75015855548687e-16,1.36271386510004e-14
"AT5G38900",243.18866811719,9.10407978420216,0.962409513093614,9.45967351770826,3.08906184312099e-21,1.76076525057896e-19
"AT5G38740",46.159864596275,9.08400142272152,1.61827166172461,5.61339708132849,1.98392620562636e-08,3.41258785784369e-07
"AT5G53080",46.7631621273744,-9.04162021636412,1.52748190981709,-5.91929773979898,3.23319183665648e-09,6.12305450759634e-08
"AT1G13490",44.2027175540683,9.02158585992942,1.66469729529755,5.41935514968016,5.98143899015626e-08,9.71399058345489e-07
"AT1G04370",44.1156978871609,9.01713412000693,1.54285041663567,5.84446426094219,5.08201129359923e-09,9.43987656900509e-08
"AT1G76470",313.540746639425,9.01233586470989,1.50156539099227,6.00196030008013,1.9494937398548e-09,3.80347537030732e-08
"AT1G69930",304.526258431147,8.99396286840192,0.86760881907487,10.3663801827097,3.52630492920907e-25,2.411992571579e-23
"AT1G10585",82.7500989405818,8.94937420288598,1.40751400744239,6.35828429100182,2.04019625042979e-10,4.39322259259216e-09
"AT1G66600",82.5466217963805,8.94764908396188,1.44717336375019,6.18284533704728,6.29563889428791e-10,1.30259233207793e-08
"AT1G51920",39.004434466918,8.83722019946239,1.60749381540456,5.49751427643181,3.85182139815235e-08,6.41675920024578e-07
"AT1G09240",39.8013214252847,-8.81132635811556,1.56129386693203,-5.64360531014574,1.66525588133379e-08,2.89008886390288e-07
"AT1G76480",36.2408900398584,8.73440951768804,1.63221071415243,5.35127569127839,8.73363471674286e-08,1.38735935090555e-06
"AT1G11610",36.1461911866316,8.7266006959793,1.62498510605519,5.37026503409865,7.86210097461955e-08,1.26621205170189e-06
"AT1G42980",35.982322071708,8.72516679370937,1.6743221343135,5.21116373898194,1.87659731219971e-07,2.89496140659973e-06
"AT1G26410",35.7485163199589,8.71459442482963,1.75514857954353,4.96516051484147,6.86442714888814e-07,9.80943110506914e-06
"AT1G08393",35.4289599608349,-8.63871296721335,1.85633631513672,-4.65363571071286,3.26132780975014e-06,4.21363553019718e-05
"AT1G53625",379.878533879719,8.58678524190008,0.766702172540957,11.1996359856948,4.09412282304635e-29,3.50047501370463e-27
"AT1G74080",31.4626056590022,8.52538845249727,1.66089393553392,5.13301197030179,2.85141764174644e-07,4.33982779296172e-06
"AT1G33615",31.762367807575,-8.48156268190389,1.84968764093383,-4.58540268865176,4.53112276939389e-06,5.76453999589849e-05
"AT1G52890",153.890974805751,8.47552749853006,1.0665284206484,7.94683698478224,1.91333923291215e-15,6.60387530084145e-14
"AT1G53990",30.4009825066211,8.47242912356694,2.01438613539234,4.20596080101434,2.5997529494593e-05,0.000279389346546328
"AT1G53970",30.1538625375153,8.4703168967006,1.71134088552905,4.94952055918541,7.43965191530671e-07,1.05241207385872e-05
"AT1G09932",654.437987231459,8.46603899719628,1.14024840104085,7.42473218069696,1.13008343804896e-13,3.36862405259615e-12
"AT1G71520",104.923509762963,8.4634702604653,1.1794735617449,7.17563371911832,7.1973010859326e-13,1.95537890250524e-11
"AT1G44130",30.0598996826957,8.46076397764994,1.70574128316794,4.96016838024605,7.04321022699433e-07,1.00053916781793e-05
"AT1G51330",29.9727910684392,8.45468651336415,1.71073783673872,4.94212867208328,7.72741865139416e-07,1.09046631163121e-05
"AT1G15385",29.3420231835484,8.4302635594356,1.71102859409699,4.92701500636506,8.34953445387803e-07,1.1754041964854e-05
"AT1G31173",30.4587723013827,-8.42396892016977,1.69663989103041,-4.96508950703363,6.86693921527888e-07,9.80943110506914e-06
"AT1G61410",28.897262260853,8.40864627831314,1.74034214676284,4.83160526448999,1.35436578231334e-06,1.84409429938402e-05
"AT1G14686",27.312556740946,8.3274483302658,2.2798926733399,3.65256155592035,0.000259637330010204,0.00218772671982511
"AT1G11572",26.5666718416979,8.28347260697731,1.72345080267295,4.80632959996898,1.53726388065479e-06,2.07852376793651e-05
"AT1G59865",166.980598768545,8.25139353414972,0.932138955927617,8.85210673974928,8.58825039301788e-19,4.12661882520711e-17
"AT1G28375",25.6238849869572,8.23083332663576,1.75213528803186,4.69760148252096,2.63234403229411e-06,3.47828368267226e-05
"AT1G59590",306.906683998053,8.225766415091,0.762421443795633,10.7890019123018,3.87980156903159e-27,3.09002278388352e-25
"AT1G49475",26.4096971296893,-8.2194766039009,1.73153525807217,-4.74692996609967,2.06527421770243e-06,2.75401474810136e-05
"AT1G24140",389.810259404633,8.19612196788949,0.653398132795013,12.5438405108831,4.29657188404255e-36,4.80389787188912e-34
"AT1G66570",24.7163439393088,8.18136649232889,1.92462926138439,4.25087919864838,2.12932998097514e-05,0.000233583481309235
"AT5G41610",23.6066743080471,8.11105973841103,2.30797704051854,3.5143589368587,0.000440816728733813,0.00340290163367388
"AT5G06790",24.3537436145565,-8.1068068558802,1.94855346687187,-4.16042310037023,3.17658563564991e-05,0.000335793979739428
"AT1G09470",24.0680935213686,-8.08419245750229,1.79292568785807,-4.5089389439002,6.51526541196584e-06,8.04241042572599e-05
